boarding_time,cid,destination,leave_time,source,start_time,waiting_time,journey_time
95.96688981597282,5,7,119.96688981597282,5,92.6150651549307,3.351824661042116,27.351824661042116
95.96688981597282,2,7,119.96688981597282,5,65.96688981597282,30.0,54.0
107.96688981597282,1,11,161.96688981597282,6,55.85226700990195,52.11462280607087,106.11462280607087
186.47693372500822,11,14,198.47693372500822,13,166.47693372500822,20.0,32.0
199.3309726244506,13,5,210.3309726244506,4,179.3309726244506,20.0,31.0
166.46895475523644,10,5,210.3309726244506,1,166.46895475523644,0.0,43.86201786921416
226.3309726244506,18,7,237.3309726244506,6,203.3258607993306,23.005111825119997,34.00511182512
251.39111218661827,17,4,263.3911121866183,3,201.39111218661827,50.0,62.0
212.3309726244506,14,11,278.3309726244506,5,179.88320702781323,32.44776559663737,98.4477655966374
244.46733133139892,19,4,288.4673313313989,8,207.28419453100335,37.18313680039557,81.18313680039554
277.81147525111606,21,B3,298.81147525111606,B1,227.81147525111606,50.0,71.0
212.3309726244506,12,13,299.3309726244506,5,173.7633933300687,38.567579294381886,125.56757929438191
299.81147525111606,22,B4,311.81147525111606,B3,241.61106844454622,58.200406806569845,70.20040680656984
299.81147525111606,15,B4,311.81147525111606,B3,183.3854046184569,116.42607063265916,128.42607063265916
289.4673313313989,4,1,320.4673313313989,4,91.96749703512313,197.49983429627576,228.49983429627576
244.46733133139892,8,1,320.4673313313989,8,126.62761927828635,117.83971205311258,193.83971205311255
322.4673313313989,9,B3,354.4673313313989,1,151.282650830844,171.1846805005549,203.1846805005549
293.2184748531769,25,4,367.69683164439857,11,271.3643140258882,21.854160827288695,96.3325176185104
345.69683164439857,29,1,398.69683164439857,6,335.69683164439857,10.0,63.0
282.2184748531769,24,B4,439.69683164439857,12,262.2184748531769,20.0,177.4783567912217
455.4673313313989,20,9,466.4673313313989,8,224.46733133139892,230.99999999999997,241.99999999999997
411.12595320565,35,1,523.1259532056499,12,401.12595320565,10.0,121.99999999999994
393.9792245964611,30,14,524.9792245964611,1,353.9792245964611,40.0,171.0
529.2866602632178,44,10,541.2866602632178,9,529.2866602632178,0.0,12.0
494.5562291331961,33,6,542.7216870827275,2,368.93589633163447,125.62033280156163,173.78579075109303
482.5562291331961,39,6,542.7216870827275,1,442.5562291331961,40.0,100.1654579495314
494.5562291331961,23,7,554.7216870827275,2,259.2798505201242,235.27637861307187,295.44183656260327
581.1984127488679,48,6,602.1984127488679,8,561.1984127488679,20.0,41.0
587.2473273257849,47,8,609.2473273257849,6,557.2473273257849,30.0,52.0
553.2891984741425,46,8,609.2473273257849,3,533.2891984741425,20.0,75.95812885164241
598.2473273257849,53,10,631.2473273257849,7,577.6752254982448,20.57210182754011,53.57210182754011
624.1984127488679,54,3,635.1984127488679,4,588.5594448334297,35.63896791543823,46.63896791543823
531.7216870827275,43,15,635.7216870827275,5,511.7216870827275,20.0,124.0
580.9750297713106,45,1,661.9750297713106,9,530.9750297713106,50.0,131.0
636.1984127488679,52,B1,667.1984127488679,3,573.2371042224277,62.961308526440234,93.96130852644023
603.1984127488679,34,B3,688.1984127488679,6,386.2362926487166,216.9621201001513,301.9621201001513
