,Location,NumFloor,Elevator Amount,Waiting_Time,Journey_Time
0,南棟客梯,5,5,12.91056355281799,24.481992124246563
1,南棟客梯,5,5,23.333333333333332,34.666666666666664
2,南棟客梯,5,5,5.0,26.999999999999993
3,南棟客梯,5,5,51.92313641589796,63.12313641589795
4,南棟客梯,5,5,28.65679734840156,42.05679734840156
5,南棟客梯,5,5,47.5,61.5
6,南棟客梯,5,5,33.333333333333336,51.666666666666664
7,南棟客梯,5,5,74.72371404839608,86.22371404839608
8,南棟客梯,5,5,0.0,11.499999999999998
9,南棟客梯,5,5,24.28524128264774,39.48524128264774
10,南棟客梯,5,5,47.8072965973767,59.007296597376694
11,南棟客梯,5,5,25.71428571428572,37.285714285714285
12,南棟客梯,5,5,5.0,26.5
13,南棟客梯,5,5,35.0,46.5
14,南棟客梯,5,5,0.0,11.5
15,南棟客梯,5,5,0.0,12.0
16,南棟客梯,5,5,40.156668387953154,54.156668387953154
17,南棟客梯,5,5,30.0,43.4
18,南棟客梯,5,5,27.42984133428929,38.429841334289286
19,南棟客梯,5,5,0.0,12.0
20,南棟客梯,5,5,0.0,11.0
21,南棟客梯,5,5,17.591340695720298,29.3913406957203
22,南棟客梯,5,5,23.333333333333332,34.333333333333336
23,南棟客梯,5,5,27.5,46.75
24,南棟客梯,5,5,19.815760257562616,35.565760257562616
25,南棟客梯,5,5,23.67583139505255,36.87583139505255
26,南棟客梯,5,5,0.0,11.5
27,南棟客梯,5,5,23.363146665337997,36.163146665338
28,南棟客梯,5,5,17.5,29.249999999999996
29,南棟客梯,5,5,35.0,46.5
30,南棟客梯,5,5,20.0,34.0
31,南棟客梯,5,5,35.0,47.0
32,南棟客梯,5,5,35.0,46.5
33,南棟客梯,5,5,26.0,39.2
34,南棟客梯,5,5,0.0,11.333333333333334
35,南棟客梯,5,5,0.0,12.0
36,南棟客梯,5,5,34.839572533168955,48.63957253316896
37,南棟客梯,5,5,22.90750468816187,46.2408380214952
38,南棟客梯,5,5,17.5,38.5
39,南棟客梯,5,5,9.827081632116156,22.82708163211616
40,南棟客梯,5,5,35.0,46.0
41,南棟客梯,5,5,23.333333333333332,34.333333333333336
42,南棟客梯,5,5,0.0,16.5
43,南棟客梯,5,5,47.95821509477895,70.29154842811228
44,南棟客梯,5,5,36.48222531931801,54.19651103360373
45,南棟客梯,5,5,0.0,11.0
46,南棟客梯,5,5,23.333333333333332,35.0
47,南棟客梯,5,5,70.0,87.0
48,南棟客梯,5,5,72.85972195534521,84.85972195534521
49,南棟客梯,5,5,0.0,11.5
50,南棟客梯,5,5,38.41054168044771,50.01054168044771
51,南棟客梯,5,5,17.604119537260356,32.43745287059369
52,南棟客梯,5,5,50.0,92.0
53,南棟客梯,5,5,33.55586983715146,53.05586983715146
54,南棟客梯,5,5,14.602318042365175,26.402318042365174
55,南棟客梯,5,5,22.036469610787318,33.703136277453986
56,南棟客梯,5,5,19.020705341626297,36.5207053416263
57,南棟客梯,5,5,49.22648191143831,65.47648191143831
58,南棟客梯,5,5,39.47231781478176,61.138984481448425
59,南棟客梯,5,5,25.0,41.5
60,南棟客梯,5,5,20.968181219597902,38.11103836245504
61,南棟客梯,5,5,25.0,41.75
62,南棟客梯,5,5,20.0,44.00000000000001
63,南棟客梯,5,5,0.0,11.0
64,南棟客梯,5,5,23.17857984801627,49.17857984801627
65,南棟客梯,5,5,0.0,12.0
66,南棟客梯,5,5,70.0,82.0
67,南棟客梯,5,5,31.51207032653363,43.76207032653363
68,南棟客梯,5,5,39.417941090110126,50.417941090110126
69,南棟客梯,5,5,24.0,45.4
70,南棟客梯,5,5,35.0,46.5
71,南棟客梯,5,5,32.056613457986984,50.806613457986984
72,南棟客梯,5,5,20.0674560253664,38.067456025366404
73,南棟客梯,5,5,25.0,45.375
74,南棟客梯,5,5,34.34110997901043,48.674443312343776
75,南棟客梯,5,5,35.0,46.333333333333336
76,南棟客梯,5,5,38.05207133834685,52.55207133834685
77,南棟客梯,5,5,0.0,26.0
78,南棟客梯,5,5,30.88814976116249,47.48814976116249
79,南棟客梯,5,5,15.0,26.5
80,南棟客梯,5,5,0.0,11.0
81,南棟客梯,5,5,23.333333333333332,34.99999999999999
82,南棟客梯,5,5,25.0,46.25
83,南棟客梯,5,5,17.759687455058696,36.09302078839203
84,南棟客梯,5,5,32.36371705292502,49.76371705292502
85,南棟客梯,5,5,5.0,21.333333333333332
86,南棟客梯,5,5,42.500000000000014,55.250000000000014
87,南棟客梯,5,5,26.0,43.6
88,南棟客梯,5,5,25.7329493902407,44.23294939024069
89,南棟客梯,5,5,40.54270437655459,52.29270437655459
90,南棟客梯,5,5,45.73006016828876,68.39672683495543
91,南棟客梯,5,5,23.717642020012068,40.317642020012066
92,南棟客梯,5,5,49.69986080836812,63.03319414170145
93,南棟客梯,5,5,11.666666666666666,34.666666666666664
94,南棟客梯,5,5,38.00006629710143,51.00006629710143
95,南棟客梯,5,5,0.0,12.0
96,南棟客梯,5,5,25.0,51.5
97,南棟客梯,5,5,0.0,11.5
98,南棟客梯,5,5,22.0,33.4
99,南棟客梯,5,5,48.19110755359927,62.69110755359926
100,南棟客梯,18,5,138.4422177128094,210.2456671107264
101,南棟客梯,18,5,119.94844969747628,163.15897601326574
102,南棟客梯,18,5,87.21124990383136,138.1599678525493
103,南棟客梯,18,5,150.8036281901143,218.4493063336905
104,南棟客梯,18,5,119.24751536703657,187.57404597928144
105,南棟客梯,18,5,113.93860017528083,167.6547592618203
106,南棟客梯,18,5,154.93509446328676,225.669496499588
