action,direction,floor,name,riderNumAfter,time
1,1.0,6,a1,,371.4133465786569
2,1.0,6,a1,0.0,371.4133465786569
2,-1.0,6,a1,1.0,372.4133465786569
1,-1.0,B4,a0,,373.7652730416495
2,1.0,B4,a0,1.0,375.7652730416495
1,1.0,14,a2,,380.7257020861333
2,1.0,14,a2,0.0,380.7257020861333
2,-1.0,14,a2,1.0,381.7257020861333
1,-1.0,5,a1,,382.4133465786569
2,-1.0,5,a1,0.0,383.4133465786569
0,,5,a1,,383.4133465786569
1,1.0,B3,a0,,385.7652730416495
1,-1.0,13,a2,,391.7257020861333
2,-1.0,13,a2,1.0,393.7257020861333
1,1.0,B2,a0,,395.7652730416495
1,-1.0,12,a2,,403.7257020861333
1,1.0,B1,a0,,405.7652730416495
2,1.0,B1,a0,3.0,412.7652730416495
1,-1.0,11,a2,,413.7257020861333
2,-1.0,11,a2,1.0,415.7257020861333
2,-1.0,5,a1,0.0,416.23157099449884
0,,5,a1,,416.23157099449884
1,1.0,1,a0,,422.7652730416495
1,-1.0,10,a2,,425.7257020861333
2,-1.0,10,a2,0.0,426.7257020861333
2,1.0,1,a0,1.0,427.7652730416495
1,1.0,11,a2,,436.7257020861333
1,1.0,6,a1,,436.7257020861333
1,1.0,2,a0,,437.7652730416495
1,1.0,12,a2,,446.7257020861333
1,1.0,7,a1,,446.7257020861333
2,1.0,12,a2,0.0,446.7257020861333
2,-1.0,12,a2,1.0,447.7257020861333
1,1.0,3,a0,,447.7652730416495
2,1.0,3,a0,0.0,448.7652730416495
1,1.0,8,a1,,456.7257020861333
1,-1.0,11,a2,,457.7257020861333
1,1.0,4,a0,,458.7652730416495
2,1.0,4,a0,0.0,458.7652730416495
1,1.0,9,a1,,466.7257020861333
1,-1.0,10,a2,,467.7257020861333
2,-1.0,10,a2,0.0,468.7257020861333
1,1.0,5,a0,,468.7652730416495
2,1.0,5,a0,0.0,468.7652730416495
1,1.0,10,a1,,476.7257020861333
2,1.0,10,a1,0.0,476.7257020861333
2,-1.0,5,a0,5.0,476.7652730416495
1,1.0,11,a2,,480.94218632288886
2,-1.0,10,a1,3.0,481.7257020861333
1,-1.0,4,a0,,486.7652730416495
1,1.0,12,a2,,490.94218632288886
1,-1.0,9,a1,,491.7257020861333
2,-1.0,4,a0,0.0,491.7652730416495
1,1.0,13,a2,,500.94218632288886
1,-1.0,8,a1,,501.7257020861333
1,-1.0,3,a0,,501.7652730416495
2,-1.0,8,a1,0.0,504.7257020861333
1,1.0,14,a2,,510.94218632288886
2,1.0,14,a2,0.0,510.94218632288886
1,-1.0,2,a0,,511.7652730416495
2,-1.0,14,a2,1.0,511.94218632288886
2,-1.0,2,a0,1.0,512.7652730416495
1,-1.0,7,a1,,514.7257020861333
1,-1.0,13,a2,,521.9421863228888
1,-1.0,1,a0,,522.7652730416495
1,-1.0,6,a1,,524.7257020861333
2,-1.0,13,a2,2.0,525.9421863228888
2,-1.0,6,a1,1.0,526.7257020861333
1,-1.0,B1,a0,,532.7652730416495
2,-1.0,B1,a0,0.0,533.7652730416495
1,-1.0,12,a2,,535.9421863228888
1,-1.0,5,a1,,536.7257020861333
2,-1.0,5,a1,0.0,537.7257020861333
1,-1.0,B2,a0,,543.7652730416495
1,-1.0,11,a2,,545.9421863228888
1,1.0,6,a1,,547.7257020861333
2,1.0,6,a1,1.0,549.7257020861333
1,-1.0,B3,a0,,553.7652730416495
1,-1.0,10,a2,,555.9421863228888
2,-1.0,10,a2,0.0,557.9421863228888
1,1.0,7,a1,,559.7257020861333
1,-1.0,B4,a0,,563.7652730416495
2,1.0,B4,a0,1.0,564.7652730416495
1,1.0,11,a2,,567.9421863228888
2,1.0,11,a2,1.0,568.9421863228888
1,1.0,8,a1,,569.7257020861333
1,1.0,B3,a0,,574.7652730416495
2,1.0,B3,a0,1.0,576.7652730416495
1,1.0,12,a2,,578.9421863228888
1,1.0,9,a1,,579.7257020861333
1,1.0,B2,a0,,586.7652730416495
1,1.0,13,a2,,588.9421863228888
1,1.0,10,a1,,589.7257020861333
2,1.0,13,a2,0.0,589.9421863228888
2,1.0,10,a1,0.0,590.7257020861333
1,1.0,B1,a0,,596.7652730416495
2,1.0,B1,a0,1.0,599.7652730416495
1,-1.0,12,a2,,599.9421863228888
1,-1.0,9,a1,,600.7257020861333
2,-1.0,9,a1,1.0,601.7257020861333
1,-1.0,11,a2,,609.9421863228888
2,1.0,B1,a0,1.0,611.2331055684238
2,-1.0,9,a1,1.0,611.8628090675242
2,-1.0,11,a2,1.0,611.9421863228888
1,1.0,1,a0,,621.2331055684238
1,-1.0,8,a1,,621.8628090675242
1,-1.0,10,a2,,621.9421863228888
2,-1.0,10,a2,0.0,622.9421863228888
0,,10,a2,,622.9421863228888
2,-1.0,10,a2,0.0,622.9421863228888
0,,10,a2,,622.9421863228888
2,1.0,1,a0,1.0,624.2331055684238
1,-1.0,7,a1,,631.8628090675242
1,1.0,2,a0,,634.2331055684238
1,-1.0,6,a1,,641.8628090675242
1,1.0,3,a0,,644.2331055684238
1,-1.0,5,a1,,651.8628090675242
2,-1.0,5,a1,0.0,652.8628090675242
1,1.0,4,a0,,659.0764902358202
2,1.0,4,a0,1.0,661.0764902358202
1,1.0,6,a1,,662.8628090675242
1,1.0,5,a0,,671.0764902358202
2,1.0,5,a0,0.0,672.0764902358202
1,1.0,7,a1,,672.8628090675242
1,-1.0,4,a0,,682.0764902358202
1,1.0,8,a1,,682.8628090675242
2,1.0,8,a1,2.0,685.8628090675242
1,-1.0,3,a0,,692.0764902358202
1,1.0,9,a1,,695.8628090675242
2,-1.0,3,a0,1.0,697.9741293668999
1,1.0,10,a1,,705.8628090675242
2,1.0,10,a1,0.0,707.8628090675242
1,-1.0,2,a0,,707.9741293668999
1,1.0,11,a2,,712.3929576006683
1,-1.0,9,a1,,717.8628090675242
1,-1.0,1,a0,,717.9741293668999
1,1.0,12,a2,,722.3929576006683
1,-1.0,8,a1,,727.8628090675242
1,-1.0,B1,a0,,727.9741293668999
2,-1.0,B1,a0,1.0,729.9741293668999
1,1.0,13,a2,,732.3929576006683
1,-1.0,7,a1,,737.8628090675242
1,-1.0,B2,a0,,739.9741293668999
1,1.0,14,a2,,742.3929576006683
2,1.0,14,a2,0.0,742.3929576006683
2,-1.0,14,a2,1.0,744.3929576006683
1,-1.0,6,a1,,747.8628090675242
2,-1.0,14,a2,1.0,749.3238951973434
1,-1.0,B3,a0,,749.9741293668999
2,-1.0,B3,a0,0.0,750.9741293668999
1,-1.0,5,a1,,757.8628090675242
2,-1.0,5,a1,0.0,757.8628090675242
1,-1.0,13,a2,,759.3238951973434
1,-1.0,B4,a0,,760.9741293668999
2,-1.0,13,a2,1.0,762.3238951973434
1,1.0,6,a1,,767.8628090675242
1,1.0,B3,a0,,770.9741293668999
1,-1.0,12,a2,,772.3238951973434
2,1.0,B3,a0,1.0,772.9741293668999
1,1.0,7,a1,,777.8628090675242
1,-1.0,11,a2,,782.3238951973434
1,1.0,B2,a0,,782.9741293668999
1,1.0,8,a1,,787.8628090675242
1,-1.0,10,a2,,792.3238951973434
1,1.0,B1,a0,,792.9741293668999
2,-1.0,10,a2,0.0,793.3238951973434
0,,10,a2,,793.3238951973434
1,1.0,9,a1,,797.8628090675242
2,1.0,B1,a0,3.0,797.9741293668999
1,1.0,10,a1,,807.8628090675242
2,1.0,10,a1,0.0,807.8628090675242
1,1.0,1,a0,,807.9741293668999
2,1.0,1,a0,2.0,812.9741293668999
2,-1.0,10,a1,5.0,815.8628090675242
1,1.0,2,a0,,822.9741293668999
1,-1.0,9,a1,,825.8628090675242
2,-1.0,9,a1,0.0,830.8628090675242
1,1.0,3,a0,,832.9741293668999
1,-1.0,8,a1,,840.8628090675242
2,-1.0,8,a1,1.0,841.8628090675242
1,1.0,4,a0,,842.9741293668999
2,1.0,4,a0,0.0,844.9741293668999
1,-1.0,7,a1,,851.8628090675242
2,-1.0,7,a1,1.0,853.8628090675242
1,1.0,5,a0,,854.9741293668999
2,1.0,5,a0,0.0,854.9741293668999
1,-1.0,6,a1,,863.8628090675242
