floor,direction,dist,parameters
1,1,gompertz,"(1.511812403941868, -9.965823370033111e-14, 466.0638007990534)"
2,1,gompertz,"(6.684328705175837, -2.2400094005428315e-12, 5608.147765952066)"
2,-1,loglaplace,"(1.2223099543081508, -0.8539488057247927, 497.8539215413324)"
3,1,genhalflogistic,"(7.100640828773145e-05, -7.416786567245203e-07, 342.08215876652423)"
3,-1,gamma,"(2.16078370161767, -31.183898606523556, 197.84508243397426)"
4,1,foldnorm,"(0.023312235988540722, -9.185828718710136e-14, 469.6738747342647)"
4,-1,kstwobign,"(-531.2524041886599, 1101.0756592903003)"
5,-1,exponnorm,"(2706.966284540464, -0.19574984041868077, 0.08373682266774624)"
