,Location,NumFloor,Waiting_Time,Journey_Time
0,研究大樓,5,26.66666666666667,41.333333333333336
1,研究大樓,5,22.500000000000004,43.5
2,研究大樓,5,33.218683669114725,54.93296938340044
3,研究大樓,5,3.3333333333333335,21.666666666666668
4,研究大樓,5,32.53014137067017,51.3634747040035
5,研究大樓,5,43.44008686434872,56.84008686434872
6,研究大樓,5,0.0,12.0
7,研究大樓,5,37.03174960218288,52.83174960218288
8,研究大樓,5,,
9,研究大樓,5,15.0,26.5
10,研究大樓,5,43.905870711637725,67.10587071163772
11,研究大樓,5,0.0,11.0
12,研究大樓,5,46.666666666666664,58.0
13,研究大樓,5,33.94182047916548,49.60848714583215
14,研究大樓,5,0.0,26.0
15,研究大樓,5,39.141304341748125,55.641304341748125
16,研究大樓,5,39.664344742763426,54.997678076096754
17,研究大樓,5,68.34106835543292,87.84106835543292
18,研究大樓,5,35.996855440722115,54.746855440722115
19,研究大樓,5,26.245443127516136,48.24544312751614
20,研究大樓,5,25.0,41.5
21,研究大樓,5,0.0,12.0
22,研究大樓,5,13.333333333333334,31.666666666666668
23,研究大樓,5,35.0,46.5
24,研究大樓,5,33.333333333333336,51.0
25,研究大樓,5,17.287527132736983,38.95419379940365
26,研究大樓,5,23.999999999999996,39.613687185694424
27,研究大樓,5,27.61516831235744,44.11516831235745
28,研究大樓,5,35.0,47.0
29,研究大樓,5,20.0,37.2
30,研究大樓,5,43.62739289975265,65.34167861403837
31,研究大樓,5,35.0,46.0
32,研究大樓,5,25.025365338771216,38.62536533877121
33,研究大樓,5,36.66666666666668,52.00000000000001
34,研究大樓,5,3.3333333333333335,18.0
35,研究大樓,5,35.82758569423949,55.027585694239484
36,研究大樓,5,23.333333333333332,38.333333333333336
37,研究大樓,5,40.97575400697657,52.47575400697657
38,研究大樓,5,0.0,11.0
39,研究大樓,5,22.928574868955288,37.92857486895529
40,研究大樓,5,27.3123603223275,44.012360322327496
41,研究大樓,5,28.8455263413599,40.512193008026564
42,研究大樓,5,33.333333333333336,61.333333333333336
43,研究大樓,5,32.18963264518268,49.589632645182675
44,研究大樓,5,24.521196772622247,44.354530105955575
45,研究大樓,5,44.34127603369378,55.67460936702711
46,研究大樓,5,0.0,11.0
47,研究大樓,5,25.0,41.0
48,研究大樓,5,14.723720259181924,33.59872025918193
49,研究大樓,5,16.107324332679035,37.107324332679035
50,研究大樓,5,23.42576030360368,34.42576030360368
51,研究大樓,5,41.62812502194965,61.62812502194965
52,研究大樓,5,0.0,12.0
53,研究大樓,5,21.723423277274584,38.323423277274586
54,研究大樓,5,19.518208516570326,37.64783285796775
55,研究大樓,5,30.0,41.0
56,研究大樓,5,31.115800682679275,52.28246734934594
57,研究大樓,5,28.415463197790125,47.415463197790125
58,研究大樓,5,24.600454751278573,40.600454751278576
59,研究大樓,5,0.0,11.0
60,研究大樓,5,35.0,51.5
61,研究大樓,5,24.961731781484893,41.46173178148489
62,研究大樓,5,37.75534793384063,57.75534793384063
63,研究大樓,5,23.86651883251502,39.56651883251502
64,研究大樓,5,6.666666666666667,25.0
65,研究大樓,5,5.0,27.0
66,研究大樓,5,0.0,12.0
67,研究大樓,5,53.47529973260381,68.80863306593714
68,研究大樓,5,37.5,56.25
69,研究大樓,5,20.0,46.0
70,研究大樓,5,0.0,12.0
71,研究大樓,5,33.333333333333336,46.666666666666664
72,研究大樓,5,32.0,43.4
73,研究大樓,5,0.0,11.5
74,研究大樓,5,0.0,11.0
75,研究大樓,5,0.0,12.0
76,研究大樓,5,20.010731902276394,41.283459175003664
77,研究大樓,5,18.333333333333332,33.166666666666664
78,研究大樓,5,35.0,54.25
79,研究大樓,5,17.5,56.0
80,研究大樓,5,35.0,54.0
81,研究大樓,5,46.66666666666666,57.99999999999999
82,研究大樓,5,10.0,27.0
83,研究大樓,5,33.084771411023084,44.684771411023085
84,研究大樓,5,35.80593358732672,49.50593358732673
85,研究大樓,5,30.980789895855583,49.64745656252225
86,研究大樓,5,31.793101578786732,52.04310157878673
87,研究大樓,5,28.50550264274935,42.50550264274935
88,研究大樓,5,70.0,91.0
89,研究大樓,5,23.333333333333332,38.333333333333336
90,研究大樓,5,15.0,26.5
91,研究大樓,5,22.0,33.2
92,研究大樓,5,,
93,研究大樓,5,35.0,47.0
94,研究大樓,5,39.12569236497679,59.95902569831012
95,研究大樓,5,38.015940922923804,55.8159409229238
96,研究大樓,5,37.5,51.0
97,研究大樓,5,0.0,11.0
98,研究大樓,5,38.30642457927003,53.639757912603365
99,研究大樓,5,35.0,46.166666666666664
100,研究大樓,18,162.4725172943461,234.81741363827155
101,研究大樓,18,147.34371870518405,217.88348891706218
102,研究大樓,18,146.8819834683059,219.88072972785932
103,研究大樓,18,131.48594673429596,198.3412795802279
104,研究大樓,18,145.24067692818068,215.33415438930768
105,研究大樓,18,131.48587823627327,206.2173508864528
106,研究大樓,18,143.7996846687541,216.48093158505327
107,研究大樓,18,141.07686319793513,209.8039215525299
108,研究大樓,18,149.2431362437935,223.54100119439192
109,研究大樓,18,136.798831536538,213.0609237819303
110,研究大樓,18,152.55400768783545,221.94822846290091
111,研究大樓,18,146.34572093261053,220.30121203158836
112,研究大樓,18,151.2290621123,221.94374007984464
113,研究大樓,18,153.15393511122664,224.846814632699
114,研究大樓,18,147.42550544577654,220.34487353143376
115,研究大樓,18,149.20754232790682,221.6090739729407
116,研究大樓,18,144.58817268128058,219.80378916553866
117,研究大樓,18,127.52254856068548,200.40185890551314
118,研究大樓,18,150.46733068924567,219.41106920943147
