,location,sep_1_floor,sep_2_floor,dataType,data
4,研究大樓,B3,8,waiting_time,373.3798417618905
5,研究大樓,B3,8,journey_time,134.66877170459273
6,研究大樓,B3,8,count_floor,1724.0
7,研究大樓,B3,8,count_stop,124.0
8,研究大樓,B3,8,waiting_time,386.04399948524076
9,研究大樓,B3,8,journey_time,142.16091525314556
10,研究大樓,B3,8,count_floor,1678.0
11,研究大樓,B3,8,count_stop,126.0
0,研究大樓,B3,9,waiting_time,509.05236974217786
1,研究大樓,B3,9,journey_time,171.33582261753594
2,研究大樓,B3,9,count_floor,1350.0
3,研究大樓,B3,9,count_stop,119.0
4,研究大樓,B3,9,waiting_time,448.91248992510526
5,研究大樓,B3,9,journey_time,161.2339833202447
6,研究大樓,B3,9,count_floor,1486.0
7,研究大樓,B3,9,count_stop,134.0
8,研究大樓,B3,9,waiting_time,886.9020641739568
9,研究大樓,B3,9,journey_time,201.78391410047269
10,研究大樓,B3,9,count_floor,1226.0
11,研究大樓,B3,9,count_stop,112.0
0,研究大樓,B3,10,waiting_time,699.157335460573
1,研究大樓,B3,10,journey_time,181.9802867977142
2,研究大樓,B3,10,count_floor,1278.0
3,研究大樓,B3,10,count_stop,142.0
4,研究大樓,B3,10,waiting_time,536.1168032783429
5,研究大樓,B3,10,journey_time,169.02901441443362
6,研究大樓,B3,10,count_floor,1274.0
7,研究大樓,B3,10,count_stop,140.0
8,研究大樓,B3,10,waiting_time,475.1235390133808
9,研究大樓,B3,10,journey_time,170.66890076447538
10,研究大樓,B3,10,count_floor,1291.0
11,研究大樓,B3,10,count_stop,147.0
0,研究大樓,B3,11,waiting_time,829.6792016009729
1,研究大樓,B3,11,journey_time,201.80413458842065
2,研究大樓,B3,11,count_floor,916.0
3,研究大樓,B3,11,count_stop,124.0
4,研究大樓,B3,11,waiting_time,924.8661120838573
5,研究大樓,B3,11,journey_time,205.28487999205652
6,研究大樓,B3,11,count_floor,876.0
7,研究大樓,B3,11,count_stop,111.0
8,研究大樓,B3,11,waiting_time,739.2964704647891
9,研究大樓,B3,11,journey_time,195.55656926429714
10,研究大樓,B3,11,count_floor,933.0
11,研究大樓,B3,11,count_stop,117.0
0,研究大樓,B3,12,waiting_time,1159.6426078937845
1,研究大樓,B3,12,journey_time,203.64444562200882
2,研究大樓,B3,12,count_floor,785.0
3,研究大樓,B3,12,count_stop,114.0
4,研究大樓,B3,12,waiting_time,906.2322227436093
5,研究大樓,B3,12,journey_time,207.5564609672884
6,研究大樓,B3,12,count_floor,747.0
7,研究大樓,B3,12,count_stop,103.0
8,研究大樓,B3,12,waiting_time,1047.6031069247451
9,研究大樓,B3,12,journey_time,210.3799669833117
10,研究大樓,B3,12,count_floor,752.0
11,研究大樓,B3,12,count_stop,112.0
0,研究大樓,B3,13,waiting_time,1133.197936059589
1,研究大樓,B3,13,journey_time,212.90440798917152
2,研究大樓,B3,13,count_floor,654.0
3,研究大樓,B3,13,count_stop,99.0
4,研究大樓,B3,13,waiting_time,728.7815328335457
5,研究大樓,B3,13,journey_time,201.60258238036755
6,研究大樓,B3,13,count_floor,694.0
7,研究大樓,B3,13,count_stop,109.0
8,研究大樓,B3,13,waiting_time,774.1332098007273
