,name,action,riderNumAfter,floor,time,direction
113,3001,1.0,,5,313.785265508827,-1.0
114,3005,1.0,,5,316.6400793414322,1.0
115,3005,2.0,0.0,5,317.6400793414322,1.0
116,3002,1.0,,8,317.7922210877637,1.0
117,3004,1.0,,12,318.0404750268903,1.0
118,3003,1.0,,B1,318.20573652489253,-1.0
119,3004,2.0,0.0,12,319.0404750268903,1.0
120,3004,0.0,0.0,12,319.0404750268903,
121,3001,1.0,,4,323.785265508827,-1.0
122,3005,1.0,,4,327.6400793414322,-1.0
123,3002,1.0,,9,327.7922210877637,1.0
124,3003,1.0,,B2,328.20573652489253,-1.0
125,3005,2.0,1.0,4,328.6400793414322,-1.0
126,3001,1.0,,3,333.785265508827,-1.0
127,3002,1.0,,10,337.7922210877637,1.0
128,3003,1.0,,B3,338.20573652489253,-1.0
129,3005,1.0,,3,338.6400793414322,-1.0
130,3003,2.0,0.0,B3,339.20573652489253,-1.0
131,3001,1.0,,2,343.785265508827,-1.0
132,3002,1.0,,11,347.7922210877637,1.0
133,3005,1.0,,2,348.6400793414322,-1.0
134,3003,1.0,,B2,349.20573652489253,1.0
135,3004,1.0,,11,351.7652730416495,-1.0
136,3001,1.0,,1,353.785265508827,-1.0
137,3001,2.0,0.0,1,354.785265508827,-1.0
138,3002,1.0,,12,357.7922210877637,1.0
139,3005,1.0,,1,358.6400793414322,-1.0
140,3003,1.0,,B1,359.20573652489253,1.0
141,3004,1.0,,10,361.7652730416495,-1.0
142,3001,1.0,,B1,364.785265508827,-1.0
143,3002,1.0,,13,367.7922210877637,1.0
144,3005,1.0,,B1,368.6400793414322,-1.0
145,3003,1.0,,1,369.20573652489253,1.0
146,3005,2.0,0.0,B1,369.6400793414322,-1.0
147,3003,2.0,1.0,1,371.20573652489253,1.0
148,3004,1.0,,9,371.7652730416495,-1.0
149,3001,1.0,,B2,374.785265508827,-1.0
150,3002,1.0,,14,377.7922210877637,1.0
151,3005,1.0,,1,379.6400793414322,1.0
152,3003,1.0,,2,381.20573652489253,1.0
153,3004,1.0,,8,381.7652730416495,-1.0
154,3001,1.0,,B3,384.785265508827,-1.0
155,3002,1.0,,15,387.7922210877637,1.0
156,,,,15,387.7922210877637,-1.0
157,3002,0.0,0.0,15,387.7922210877637,
158,3005,1.0,,2,389.6400793414322,1.0
159,3003,1.0,,3,391.20573652489253,1.0
160,3004,1.0,,7,391.7652730416495,-1.0
161,3003,2.0,0.0,3,392.20573652489253,1.0
162,3001,1.0,,B4,394.785265508827,-1.0
163,,,,B4,394.785265508827,1.0
164,3005,1.0,,3,399.6400793414322,1.0
165,3004,1.0,,6,401.7652730416495,-1.0
166,3003,1.0,,4,402.20573652489253,1.0
167,3001,1.0,,B3,404.785265508827,1.0
168,3005,1.0,,4,409.6400793414322,1.0
169,3004,1.0,,5,411.7652730416495,-1.0
170,3003,1.0,,5,412.20573652489253,1.0
171,3001,1.0,,B2,414.785265508827,1.0
172,3005,1.0,,5,419.6400793414322,1.0
173,3004,1.0,,4,421.7652730416495,-1.0
174,3003,1.0,,6,422.20573652489253,1.0
175,3001,1.0,,B1,424.785265508827,1.0
176,3005,1.0,,6,429.6400793414322,1.0
177,3004,1.0,,3,431.7652730416495,-1.0
178,3003,1.0,,7,432.20573652489253,1.0
179,3003,2.0,1.0,7,434.20573652489253,1.0
180,3001,1.0,,1,434.785265508827,1.0
181,3005,1.0,,7,439.6400793414322,1.0
182,3004,1.0,,2,441.7652730416495,-1.0
183,3003,1.0,,8,444.20573652489253,1.0
184,3001,1.0,,2,444.785265508827,1.0
185,3005,1.0,,8,449.6400793414322,1.0
186,3004,1.0,,1,451.7652730416495,-1.0
187,3003,1.0,,9,454.20573652489253,1.0
188,3001,1.0,,3,454.785265508827,1.0
189,3005,1.0,,9,459.6400793414322,1.0
190,3004,1.0,,B1,461.7652730416495,-1.0
191,3003,1.0,,10,464.20573652489253,1.0
192,3001,1.0,,4,464.785265508827,1.0
193,3001,2.0,1.0,4,465.785265508827,1.0
194,3002,1.0,,14,468.8803403457148,-1.0
195,3005,1.0,,10,469.6400793414322,1.0
196,3004,1.0,,B2,471.7652730416495,-1.0
197,3003,1.0,,11,474.20573652489253,1.0
198,3001,1.0,,5,475.785265508827,1.0
199,3002,1.0,,13,478.8803403457148,-1.0
200,3005,1.0,,11,479.6400793414322,1.0
201,3004,1.0,,B3,481.7652730416495,-1.0
202,3004,2.0,1.0,B3,483.7652730416495,-1.0
203,3003,1.0,,12,484.20573652489253,1.0
204,3001,1.0,,6,488.80408888206,1.0
205,3002,1.0,,12,488.8803403457148,-1.0
206,3005,1.0,,12,489.6400793414322,1.0
207,3001,2.0,2.0,6,490.80408888206,1.0
208,3004,1.0,,B4,493.7652730416495,-1.0
209,3003,1.0,,13,494.20573652489253,1.0
210,3004,0.0,0.0,B4,494.7652730416495,
211,3003,2.0,0.0,13,495.20573652489253,1.0
212,3002,1.0,,11,498.8803403457148,-1.0
213,3005,1.0,,13,499.6400793414322,1.0
214,3001,1.0,,7,500.80408888206,1.0
215,3003,1.0,,12,505.20573652489253,-1.0
216,3002,1.0,,10,508.8803403457148,-1.0
217,3005,1.0,,14,509.6400793414322,1.0
218,3005,2.0,0.0,14,509.6400793414322,1.0
219,,,,14,509.6400793414322,-1.0
220,3001,1.0,,8,510.80408888206,1.0
221,3001,2.0,1.0,8,511.80408888206,1.0
222,3003,1.0,,11,515.2057365248925,-1.0
223,3002,1.0,,9,518.8803403457148,-1.0
224,3005,1.0,,13,519.6400793414323,-1.0
225,3001,1.0,,9,521.80408888206,1.0
226,3003,1.0,,10,525.2057365248925,-1.0
227,3002,1.0,,8,528.8803403457148,-1.0
228,3005,1.0,,12,529.6400793414323,-1.0
229,3001,1.0,,10,531.80408888206,1.0
230,3003,1.0,,9,535.2057365248925,-1.0
231,3002,1.0,,7,538.8803403457148,-1.0
232,3005,1.0,,11,539.6400793414323,-1.0
233,3001,1.0,,11,541.80408888206,1.0
234,3003,1.0,,8,545.2057365248925,-1.0
235,3002,1.0,,6,548.8803403457148,-1.0
236,3005,1.0,,10,549.6400793414323,-1.0
237,3001,1.0,,12,551.80408888206,1.0
238,3003,1.0,,7,555.2057365248925,-1.0
239,3002,1.0,,5,558.8803403457148,-1.0
240,3005,1.0,,9,559.6400793414323,-1.0
241,3001,1.0,,13,561.80408888206,1.0
242,3003,1.0,,6,565.2057365248925,-1.0
243,3002,1.0,,4,568.8803403457148,-1.0
244,3005,1.0,,8,569.6400793414323,-1.0
245,3001,1.0,,14,571.80408888206,1.0
246,3001,2.0,0.0,14,572.80408888206,1.0
247,3003,1.0,,5,575.2057365248925,-1.0
248,3002,1.0,,3,578.8803403457148,-1.0
249,3003,2.0,2.0,5,579.2057365248925,-1.0
250,3005,1.0,,7,579.6400793414323,-1.0
251,3001,1.0,,13,582.80408888206,-1.0
252,3002,1.0,,2,588.8803403457148,-1.0
253,3003,1.0,,4,589.2057365248925,-1.0
254,3005,1.0,,6,589.6400793414323,-1.0
255,3001,1.0,,12,592.80408888206,-1.0
256,3002,1.0,,1,598.8803403457148,-1.0
257,3003,1.0,,3,599.2057365248925,-1.0
258,3005,1.0,,5,599.6400793414323,-1.0
259,3002,2.0,1.0,1,599.8803403457148,-1.0
260,3004,1.0,,B3,600.4569439494533,1.0
261,3001,1.0,,11,602.80408888206,-1.0
262,3001,2.0,2.0,11,604.80408888206,-1.0
263,3003,1.0,,2,609.2057365248925,-1.0
264,3005,1.0,,4,609.6400793414323,-1.0
265,3002,1.0,,B1,609.8803403457148,-1.0
266,3004,1.0,,B2,610.4569439494533,1.0
267,3002,2.0,0.0,B1,610.8803403457148,-1.0
268,3001,1.0,,10,614.80408888206,-1.0
269,3003,1.0,,1,619.2057365248925,-1.0
270,3005,1.0,,3,619.6400793414323,-1.0
271,3003,2.0,1.0,1,620.2057365248925,-1.0
272,3004,1.0,,B1,620.4569439494533,1.0
273,3002,1.0,,B2,620.8803403457148,-1.0
274,3001,1.0,,9,624.80408888206,-1.0
275,3005,1.0,,2,629.6400793414323,-1.0
276,3003,1.0,,B1,630.2057365248925,-1.0
277,3004,1.0,,1,630.4569439494533,1.0
278,3005,2.0,1.0,2,630.6400793414323,-1.0
279,3002,1.0,,B3,630.8803403457148,-1.0
280,3002,2.0,0.0,B3,630.8803403457148,-1.0
281,,,,B3,630.8803403457148,1.0
282,3001,1.0,,8,634.80408888206,-1.0
283,3003,1.0,,B2,640.2057365248925,-1.0
284,3004,1.0,,2,640.4569439494533,1.0
285,3005,1.0,,1,640.6400793414323,-1.0
286,3002,1.0,,B2,640.8803403457148,1.0
287,3001,1.0,,7,644.80408888206,-1.0
288,3003,1.0,,B3,650.2057365248925,-1.0
289,3004,1.0,,3,650.4569439494533,1.0
290,3005,1.0,,B1,650.6400793414323,-1.0
291,3002,1.0,,B1,650.8803403457148,1.0
292,3001,1.0,,6,654.80408888206,-1.0
293,3003,1.0,,B4,660.2057365248925,-1.0
294,3004,1.0,,4,660.4569439494533,1.0
295,3005,1.0,,B2,660.6400793414323,-1.0
296,3002,1.0,,1,660.8803403457148,1.0
297,3001,1.0,,5,664.80408888206,-1.0
298,3002,2.0,2.0,1,664.8803403457148,1.0
299,3004,1.0,,5,670.4569439494533,1.0
300,3004,2.0,0.0,5,670.4569439494533,1.0
301,,,,5,670.4569439494533,-1.0
302,3004,0.0,0.0,5,670.4569439494533,
303,3005,1.0,,B3,670.6400793414323,-1.0
304,3003,1.0,,B3,671.2057365248925,1.0
305,3001,1.0,,4,674.80408888206,-1.0
