cid,pass_by,appear_time,destination,boarding_time,get_off_time,total_waiting_time,time_in_elev,journey_time,transfer_num,isSuccessful
0,"['4', '1']",9.916163658767971,1,[24.91616365876797],[38.91616365876797],15.0,14.0,29.0,0,True
1,"['12', '5', '3']",45.95246624608481,3,"[89.84635030275116, 128.84635030275115]","[123.84635030275116, 138.84635030275115]",48.89388405666634,44.0,92.89388405666634,1,True
2,"['13', '7']",47.84635030275116,7,[82.84635030275116],[111.84635030275116],35.0,29.0,64.0,0,True
3,"['B1', '1', '5', '15']",53.19069985029287,15,"[68.19069985029287, 79.19069985029287, 130.84635030275115]","[74.19069985029287, 97.19069985029287, 184.84635030275115]",53.655650452458275,78.0,131.65565045245827,2,True
4,"['5', '7']",55.738151958326156,7,[127.84635030275116],[141.84635030275115],72.108198344425,13.999999999999986,86.10819834442499,0,True
5,"['5', '8', '9']",56.50326350582726,9,"[129.84635030275115, 158.8415792341953]","[149.84635030275115, 164.8415792341953]",82.33831572836804,26.0,108.33831572836804,1,True
6,"['7', '15']",62.026413721920264,15,[143.84635030275115],[184.84635030275115],81.81993658083088,41.0,122.81993658083088,0,True
7,"['15', '6']",93.78078653807835,6,[188.84635030275115],[235.76717169766087],95.0655637646728,46.92082139490972,141.98638515958254,0,True
8,"['11', '5', '1', 'B1']",98.46581066582772,B1,"[213.76717169766087, 257.5643546384351, 381.4746992736147]","[243.76717169766087, 277.5643546384351, 388.4746992736147]",233.008888607787,57.0,290.00888860778696,2,True
9,"['5', '12']",123.12331422313096,12,[131.84635030275115],[168.84635030275115],8.723036079620186,37.0,45.72303607962019,0,True
10,"['10', '8']",139.8415792341953,8,[145.8415792341953],[155.8415792341953],6.0,10.0,16.0,0,True
11,"['5', '11']",178.41062533822918,11,[246.76717169766087],[279.76717169766084],68.35654635943169,32.99999999999997,101.35654635943166,0,True
12,"['5', '8', '10']",186.47379375538154,10,"[248.76717169766087, 271.76717169766084]","[264.76717169766084, 281.76717169766084]",69.29337794227934,25.99999999999997,95.2933779422793,1,True
13,"['B4', '1', '5', '14']",187.56435463843508,14,"[205.56435463843508, 236.56435463843508, 355.76717169766084]","[223.56435463843508, 254.56435463843508, 408.76717169766084]",132.20281705922577,89.0,221.20281705922577,2,True
14,"['14', '5', '1', 'B1']",192.76717169766087,B1,"[198.76717169766087, 259.5643546384351, 380.4746992736147]","[243.76717169766087, 277.5643546384351, 388.4746992736147]",124.70752757595383,71.0,195.70752757595383,2,True
15,"['B1', 'B3']",205.6264953293599,B3,[265.2081467338035],[277.2081467338035],59.58165140444362,12.0,71.58165140444362,0,True
16,"['5', '15']",241.9205478772445,15,[250.76717169766087],[299.76717169766084],8.846623820416369,48.99999999999997,57.84662382041634,0,True
17,"['1', '5']",245.91038136085672,5,[436.4746992736147],[463.4746992736147],190.56431791275799,27.0,217.56431791275799,0,True
18,"['6', '5', '1', 'B1']",249.46741903047456,B1,"[345.76717169766084, 358.76717169766084, 502.4746992736147]","[353.76717169766084, 386.5048830357381, 510.4746992736147]",217.2695689050629,43.73771133807725,261.00728024314014,2,True
19,"['B1', 'B4']",258.2081467338035,B4,[267.2081467338035],[284.2081467338035],9.0,17.0,26.0,0,True
20,"['15', '8']",277.8110111816736,8,[302.76717169766084],[332.76717169766084],24.95616051598722,30.0,54.95616051598722,0,True
21,"['6', '5', '1', 'B1']",310.13329538167307,B1,"[347.76717169766084, 357.76717169766084, 503.4746992736147]","[353.76717169766084, 386.5048830357381, 510.4746992736147]",158.6036925538644,41.73771133807725,200.34140389194164,2,True
22,"['14', '5', '3']",316.0715157775792,3,"[412.76717169766084, 473.4746992736147]","[458.76717169766084, 483.4746992736147]",111.40318349603552,56.0,167.40318349603552,1,True
23,"['2', '5', '8']",330.7541205346066,8,"[336.7541205346066, 359.76717169766084]","[350.7541205346066, 379.76717169766084]",15.013051163054229,34.0,49.01305116305423,1,True
