,Location,Elevator Amount,Waiting_Time,Journey_Time
0,研究大樓,1,125.2378586129947,175.3916249401488
1,研究大樓,2,98.48815216822472,144.3629869301742
2,研究大樓,3,91.84668111805259,137.27146559486627
3,研究大樓,4,91.57368044552457,136.74675401615897
4,研究大樓,5,85.69192545131375,129.92690570772885
