,from,B4,B3,B2,B1,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
1,B4,0.0,0.03790271636133923,0.0,0.13329121920404297,0.12255211623499684,0.01958307012002527,0.0739102969046115,0.065698041692988,0.047378395451674035,0.0574857864813645,0.04990524320909665,0.05432722678458623,0.05053695514845231,0.005685407454200884,0.0574857864813645,0.06696146557169931,0.05622236260265319,0.04990524320909665,0.051168667087807956
2,B3,0.10740740740740741,0.0,0.0,0.14074074074074075,0.10555555555555556,0.037037037037037035,0.1388888888888889,0.06666666666666667,0.044444444444444446,0.05740740740740741,0.04259259259259259,0.044444444444444446,0.037037037037037035,0.003703703703703704,0.03518518518518519,0.037037037037037035,0.03888888888888889,0.04259259259259259,0.020370370370370372
3,B2,,,,,,,,,,,,,,,,,,,
4,B1,0.04284875758168656,0.017413422030913714,0.0,0.0,0.07043631383290941,0.007434944237918215,0.05184895323811387,0.03287027978869106,0.04480532185482293,0.07082762668753669,0.06476227744081393,0.08452357659949129,0.07200156525141851,0.004695754255527294,0.08726276658188221,0.1013500293484641,0.10095871649383682,0.1013500293484641,0.04460966542750929
5,1,0.03635405690200211,0.016991570073761855,0.0,0.083377239199157,0.0,0.005795574288724974,0.0470231822971549,0.03912012644889357,0.04201791359325606,0.07626448893572181,0.065463645943098,0.08719704952581665,0.07600105374077977,0.005268703898840885,0.09351949420442571,0.07613277133825079,0.09378292939936776,0.10023709167544784,0.05545310853530032
6,2,0.07948717948717948,0.06923076923076923,0.0,0.1358974358974359,0.12564102564102564,0.0,0.04871794871794872,0.035897435897435895,0.02564102564102564,0.05128205128205128,0.04358974358974359,0.05384615384615385,0.04871794871794872,0.03333333333333333,0.06153846153846154,0.04358974358974359,0.05641025641025641,0.0641025641025641,0.023076923076923078
7,3,0.05478424015009381,0.03902439024390244,0.0,0.18611632270168857,0.20337711069418388,0.0075046904315197,0.0,0.06641651031894934,0.05703564727954972,0.03264540337711069,0.05553470919324578,0.0375234521575985,0.03864915572232645,0.003377110694183865,0.042401500938086305,0.04577861163227017,0.054409005628517824,0.04165103189493433,0.03377110694183865
8,4,0.04797742238946378,0.029633113828786452,0.0,0.16509877704609596,0.2083725305738476,0.00799623706491063,0.06396989651928504,0.0,0.05832549388523048,0.04985888993414864,0.03857008466603951,0.06396989651928504,0.05644402634054563,0.007525870178739417,0.0658513640639699,0.036688617121354655,0.03857008466603951,0.03386641580432737,0.027281279397930385
9,5,0.059233449477351915,0.027874564459930314,0.0,0.20267131242741,0.19396051103368175,0.011033681765389082,0.08536585365853659,0.04819976771196283,0.0,0.053426248548199766,0.03832752613240418,0.03948896631823461,0.04355400696864112,0.01684088269454123,0.036004645760743324,0.044715447154471545,0.03774680603948897,0.04529616724738676,0.016260162601626018
10,6,0.04452767374115689,0.02455264253017062,0.0,0.24427798585101956,0.2550977944236371,0.010403662089055347,0.029546400332917187,0.04868913857677903,0.04161464835622139,0.0,0.043279234290470245,0.04119850187265917,0.049521431543903455,0.004993757802746567,0.03454015813566375,0.033707865168539325,0.046608406158967955,0.03162713275072826,0.01581356637536413
11,7,0.03359601824968893,0.02073828287017835,0.0,0.24429697221070096,0.2501036914143509,0.007880547490667772,0.051430941518042304,0.03152218996267109,0.027374533388635422,0.03691414350891746,0.0,0.05101617586063874,0.036499377851513894,0.008710078805474907,0.038573206138531727,0.0439651596847781,0.0414765657403567,0.04852758191621734,0.027374533388635422
12,8,0.04075504075504076,0.028314028314028315,0.0,0.2857142857142857,0.2338052338052338,0.01287001287001287,0.03818103818103818,0.047619047619047616,0.02531102531102531,0.029601029601029602,0.03861003861003861,0.0,0.055341055341055344,0.006435006435006435,0.03903903903903904,0.03732303732303732,0.027885027885027884,0.03432003432003432,0.018876018876018877
