,Location,NumFloor,Elevator Amount,Waiting_Time,Journey_Time
0,研究大樓,5,5,0.0,12.0
1,研究大樓,5,5,35.0,46.5
2,研究大樓,5,5,30.99895115467668,47.33228448801001
3,研究大樓,5,5,16.0,35.8
4,研究大樓,5,5,32.96329515032715,51.96329515032715
5,研究大樓,5,5,43.2460769713337,60.2460769713337
6,研究大樓,5,5,44.0,61.4
7,研究大樓,5,5,28.403237860826994,49.603237860826994
8,研究大樓,5,5,29.83394811101532,48.99164528031384
9,研究大樓,5,5,39.320130731105905,58.820130731105905
10,研究大樓,5,5,29.107695179211127,49.030772102288054
11,研究大樓,5,5,0.0,12.0
12,研究大樓,5,5,42.14837065166187,61.14837065166187
13,研究大樓,5,5,0.0,11.5
14,研究大樓,5,5,41.75702034422303,56.35702034422303
15,研究大樓,5,5,26.666666666666668,48.0
16,研究大樓,5,5,0.0,18.0
17,研究大樓,5,5,0.0,11.0
18,研究大樓,5,5,30.0,42.0
19,研究大樓,5,5,31.26281235485938,50.66281235485938
20,研究大樓,5,5,0.0,12.0
21,研究大樓,5,5,25.341473607931974,45.091473607931974
22,研究大樓,5,5,14.452218637077806,25.852218637077804
23,研究大樓,5,5,28.17314229262446,47.673142292624455
24,研究大樓,5,5,44.22489057708225,59.558223910415585
25,研究大樓,5,5,35.0,47.0
26,研究大樓,5,5,20.5443047520847,41.21097141875136
27,研究大樓,5,5,33.472623820225365,59.472623820225365
28,研究大樓,5,5,24.13331311543798,35.88331311543798
29,研究大樓,5,5,35.0,52.0
30,研究大樓,5,5,38.528700896924406,56.862034230257734
31,研究大樓,5,5,16.795758782918217,29.962425449584885
32,研究大樓,5,5,33.47930745348826,48.81264078682159
33,研究大樓,5,5,16.0,37.2
34,研究大樓,5,5,31.64780678251023,48.981140115843566
35,研究大樓,5,5,30.0,56.0
36,研究大樓,5,5,31.77360349524549,54.77360349524549
37,研究大樓,5,5,22.0,33.8
38,研究大樓,5,5,0.0,26.0
39,研究大樓,5,5,52.5,66.75
40,研究大樓,5,5,29.265135834048422,50.89013583404842
41,研究大樓,5,5,35.0,47.0
42,研究大樓,5,5,56.438263362854705,74.77159669618804
43,研究大樓,5,5,70.0,81.0
44,研究大樓,5,5,26.666666666666668,45.0
45,研究大樓,5,5,35.0,46.0
46,研究大樓,5,5,46.666666666666664,61.666666666666664
47,研究大樓,5,5,5.0,22.0
48,研究大樓,5,5,36.666666666666664,58.333333333333336
49,研究大樓,5,5,46.666666666666664,61.0
50,研究大樓,5,5,6.666666666666667,20.0
51,研究大樓,5,5,33.77544003789966,52.108773371233006
52,研究大樓,5,5,38.0,55.4
53,研究大樓,5,5,38.25942677230672,53.75942677230672
54,研究大樓,5,5,2.5,22.0
55,研究大樓,5,5,22.928574868955288,37.92857486895529
56,研究大樓,5,5,27.3123603223275,44.012360322327496
57,研究大樓,5,5,28.8455263413599,40.512193008026564
58,研究大樓,5,5,33.333333333333336,61.333333333333336
59,研究大樓,5,5,32.18963264518268,49.589632645182675
60,研究大樓,5,5,24.521196772622247,44.354530105955575
61,研究大樓,5,5,44.34127603369378,55.67460936702711
62,研究大樓,5,5,0.0,11.0
63,研究大樓,5,5,25.0,41.0
64,研究大樓,5,5,14.723720259181924,33.59872025918193
65,研究大樓,5,5,16.107324332679035,37.107324332679035
66,研究大樓,5,5,23.42576030360368,34.42576030360368
67,研究大樓,5,5,41.62812502194965,61.62812502194965
68,研究大樓,5,5,0.0,12.0
69,研究大樓,5,5,21.723423277274584,38.323423277274586
70,研究大樓,5,5,19.518208516570326,37.64783285796775
71,研究大樓,5,5,30.0,41.0
72,研究大樓,5,5,31.115800682679275,52.28246734934594
73,研究大樓,5,5,28.415463197790125,47.415463197790125
74,研究大樓,5,5,24.600454751278573,40.600454751278576
75,研究大樓,5,5,0.0,11.0
76,研究大樓,5,5,35.0,51.5
77,研究大樓,5,5,24.961731781484893,41.46173178148489
78,研究大樓,5,5,37.75534793384063,57.75534793384063
79,研究大樓,5,5,23.86651883251502,39.56651883251502
80,研究大樓,5,5,6.666666666666667,25.0
81,研究大樓,5,5,5.0,27.0
82,研究大樓,5,5,0.0,12.0
83,研究大樓,5,5,53.47529973260381,68.80863306593714
84,研究大樓,5,5,37.5,56.25
85,研究大樓,5,5,20.0,46.0
86,研究大樓,5,5,0.0,12.0
87,研究大樓,5,5,33.333333333333336,46.666666666666664
88,研究大樓,5,5,32.0,43.4
89,研究大樓,5,5,0.0,11.5
90,研究大樓,5,5,0.0,11.0
91,研究大樓,5,5,0.0,12.0
92,研究大樓,5,5,20.010731902276394,41.283459175003664
93,研究大樓,5,5,18.333333333333332,33.166666666666664
94,研究大樓,5,5,35.0,54.25
95,研究大樓,5,5,17.5,56.0
96,研究大樓,5,5,35.0,54.0
97,研究大樓,5,5,46.66666666666666,57.99999999999999
98,研究大樓,5,5,10.0,27.0
99,研究大樓,5,5,33.084771411023084,44.684771411023085
100,研究大樓,18,5,143.47624050594254,213.5727609023638
101,研究大樓,18,5,145.28467032217551,218.275936551905
102,研究大樓,18,5,140.3417590314287,210.65253694614847
103,研究大樓,18,5,151.0996459775166,223.18440699066008
104,研究大樓,18,5,154.89139662532273,225.58985030608997
105,研究大樓,18,5,220.6814379913717,290.11137944454987
106,研究大樓,18,5,139.34878599224908,208.9041209709642
107,研究大樓,18,5,147.478538591294,217.4008288199924
108,研究大樓,18,5,153.39025478148312,223.49155177945647
109,研究大樓,18,5,144.17198792937114,215.54954513140183
110,研究大樓,18,5,128.83446292795708,196.86198832018866
