,location,sep_floor,dataType,data
121,研究大樓,odd-even-division,journey_time,2153.702683571829
122,研究大樓,odd-even-division,count_floor,840.0
123,研究大樓,odd-even-division,count_stop,76.0
124,研究大樓,odd-even-division,count_wasted,95.0
125,研究大樓,odd-even-division,waiting_time,2189.3999236829823
126,研究大樓,odd-even-division,journey_time,1488.59607305421
127,研究大樓,odd-even-division,count_floor,615.0
128,研究大樓,odd-even-division,count_stop,63.0
129,研究大樓,odd-even-division,count_wasted,89.0
130,研究大樓,odd-even-division,waiting_time,2749.8965370837623
131,研究大樓,odd-even-division,journey_time,1752.1735160748212
132,研究大樓,odd-even-division,count_floor,331.0
133,研究大樓,odd-even-division,count_stop,27.0
134,研究大樓,odd-even-division,count_wasted,10.0
135,研究大樓,odd-even-division,waiting_time,2881.2537423868707
136,研究大樓,odd-even-division,journey_time,1733.4425592547436
137,研究大樓,odd-even-division,count_floor,880.0
138,研究大樓,odd-even-division,count_stop,93.0
139,研究大樓,odd-even-division,count_wasted,94.0
140,研究大樓,odd-even-division,waiting_time,2222.297176913187
141,研究大樓,odd-even-division,journey_time,749.2110544857703
142,研究大樓,odd-even-division,count_floor,719.0
143,研究大樓,odd-even-division,count_stop,64.0
144,研究大樓,odd-even-division,count_wasted,84.0
145,研究大樓,odd-even-division,waiting_time,2182.1740201280863
146,研究大樓,odd-even-division,journey_time,1432.2645116235522
147,研究大樓,odd-even-division,count_floor,581.0
148,研究大樓,odd-even-division,count_stop,26.0
149,研究大樓,odd-even-division,count_wasted,19.0
150,研究大樓,odd-even-division,waiting_time,2555.759811041881
151,研究大樓,odd-even-division,journey_time,1130.8114475067814
152,研究大樓,odd-even-division,count_floor,541.0
153,研究大樓,odd-even-division,count_stop,83.0
154,研究大樓,odd-even-division,count_wasted,90.0
155,研究大樓,odd-even-division,waiting_time,4363.07651291553
156,研究大樓,odd-even-division,journey_time,2648.079803008592
157,研究大樓,odd-even-division,count_floor,511.0
158,研究大樓,odd-even-division,count_stop,52.0
159,研究大樓,odd-even-division,count_wasted,53.0
160,研究大樓,odd-even-division,waiting_time,2331.489919478287
161,研究大樓,odd-even-division,journey_time,989.3917690290077
162,研究大樓,odd-even-division,count_floor,721.0
163,研究大樓,odd-even-division,count_stop,88.0
164,研究大樓,odd-even-division,count_wasted,86.0
165,研究大樓,odd-even-division,waiting_time,2487.921790234668
166,研究大樓,odd-even-division,journey_time,971.5536479885224
167,研究大樓,odd-even-division,count_floor,558.0
168,研究大樓,odd-even-division,count_stop,94.0
