cid,pass_by,appear_time,destination,boarding_time,get_off_time,total_waiting_time,time_in_elev,journey_time,transfer_num,isSuccessful
18,"['11', '7']",272.310949472104,1,[3162.6513196899314],[3208.6513196899314],3281.689050527896,46.0,3327.689050527896,1,False
19,"['6', '1', 'B1']",279.83172787144287,B1,"[330.46741903047456, 369.01674038203413]","[357.01674038203413, 378.01674038203413]",62.635691159031694,35.54932135155957,98.18501251059126,1,True
20,"['B4', 'B1']",296.45006279076057,B1,[335.46741903047456],[349.46741903047456],39.01735623971399,14.0,53.01735623971399,0,True
21,"['5', '7']",329.73076802241224,11,[1358.5271084680319],[1379.5271084680319],3249.269231977588,21.0,3270.269231977588,1,False
22,"['2', '6']",330.7541205346067,6,[1340.5271084680319],[1372.5271084680319],1009.7729879334252,32.0,1041.7729879334252,0,True
23,"['7', '8']",331.8106724984027,8,[340.8106724984027],[346.8106724984027],9.0,6.0,15.0,0,True
24,"['3', '1', 'B4']",333.01674038203413,B4,"[347.01674038203413, 368.01674038203413]","[357.01674038203413, 399.01674038203413]",25.0,41.0,66.0,1,True
25,"['3', '7', '13']",343.69879664568356,13,"[373.01674038203413, 400.01674038203413]","[391.01674038203413, 426.01674038203413]",38.31794373635057,44.0,82.31794373635057,1,True
26,"['5', '7']",351.5332315955345,13,[1360.5271084680319],[1379.5271084680319],3229.4667684044657,19.0,3248.4667684044657,1,False
27,"['1', 'B3']",361.4746992736147,B3,[372.01674038203413],[390.01674038203413],10.542041108419426,18.0,28.542041108419426,0,True
28,"['4', '1']",366.5048830357381,B4,[409.01674038203413],[423.01674038203413],3219.495116964262,14.0,3233.495116964262,1,False
29,['1'],370.23525119892605,5,,,3229.764748801074,,,0,False
