,Location,NumFloor,Waiting_Time,Journey_Time
0,南棟客梯,5,30.0,49.4
1,南棟客梯,5,32.0,49.451180234500114
2,南棟客梯,5,30.000000000000007,46.50000000000001
3,南棟客梯,5,7.743630686773784,26.99363068677378
4,南棟客梯,5,23.333333333333332,34.666666666666664
5,南棟客梯,5,10.0,22.0
6,南棟客梯,5,11.666666666666666,29.666666666666668
7,南棟客梯,5,0.0,15.100072647631016
8,南棟客梯,5,23.333333333333332,35.0
9,南棟客梯,5,0.0,12.0
10,南棟客梯,5,34.99999999999999,46.666666666666664
11,南棟客梯,5,22.0638903659402,33.6638903659402
12,南棟客梯,5,,
13,南棟客梯,5,17.759687455058696,36.09302078839203
14,南棟客梯,5,32.36371705292502,49.76371705292502
15,南棟客梯,5,5.0,21.333333333333332
16,南棟客梯,5,42.500000000000014,55.250000000000014
17,南棟客梯,5,26.0,43.6
18,南棟客梯,5,25.7329493902407,44.23294939024069
19,南棟客梯,5,40.54270437655459,52.29270437655459
20,南棟客梯,5,45.73006016828876,68.39672683495543
21,南棟客梯,5,23.717642020012068,40.317642020012066
22,南棟客梯,5,49.69986080836812,63.03319414170145
23,南棟客梯,5,11.666666666666666,34.666666666666664
24,南棟客梯,5,38.00006629710143,51.00006629710143
25,南棟客梯,5,0.0,12.0
26,南棟客梯,5,25.0,51.5
27,南棟客梯,5,0.0,11.5
28,南棟客梯,5,22.0,33.4
29,南棟客梯,5,48.19110755359927,62.69110755359926
30,南棟客梯,5,0.0,11.0
31,南棟客梯,5,22.293248917020357,38.093248917020354
32,南棟客梯,5,30.0,45.4
33,南棟客梯,5,20.0,35.8
34,南棟客梯,5,25.563229155503613,38.163229155503615
35,南棟客梯,5,35.0,51.5
36,南棟客梯,5,30.000000000000007,45.400000000000006
37,南棟客梯,5,25.0,36.25
38,南棟客梯,5,15.0,26.5
39,南棟客梯,5,34.11622727387462,45.51622727387462
40,南棟客梯,5,10.0,21.0
41,南棟客梯,5,38.8200264989412,52.42002649894118
42,南棟客梯,5,41.3477079237686,53.014374590435274
43,南棟客梯,5,32.00812655427883,45.208126554278834
44,南棟客梯,5,23.333333333333332,38.333333333333336
45,南棟客梯,5,15.0,26.0
46,南棟客梯,5,17.5,29.0
47,南棟客梯,5,49.38751959850674,67.38751959850674
48,南棟客梯,5,0.0,12.0
49,南棟客梯,5,46.25,60.125
50,南棟客梯,5,0.0,11.0
51,南棟客梯,5,0.0,12.0
52,南棟客梯,5,0.0,12.0
53,南棟客梯,5,35.0,46.5
54,南棟客梯,5,16.0,29.2
55,南棟客梯,5,30.97061973608591,42.63728640275258
56,南棟客梯,5,33.685104093296495,48.35177075996316
57,南棟客梯,5,23.076949292426438,42.38254730762547
58,南棟客梯,5,34.013494961079104,47.6134949610791
59,南棟客梯,5,23.686140920455387,34.68614092045539
60,南棟客梯,5,18.644295182099807,30.444295182099808
61,南棟客梯,5,30.48846735142974,50.98846735142974
62,南棟客梯,5,57.88523421422984,69.88523421422984
63,南棟客梯,5,10.0,25.2
64,南棟客梯,5,10.0,26.5
65,南棟客梯,5,35.574313850359765,51.145742421788334
66,南棟客梯,5,70.0,86.0
67,南棟客梯,5,0.0,11.999999999999986
68,南棟客梯,5,31.923470717418702,47.7984707174187
69,南棟客梯,5,10.0,31.666666666666668
70,南棟客梯,5,35.0,51.5
71,南棟客梯,5,37.15835201659478,54.90835201659478
72,南棟客梯,5,45.33512290186668,56.83512290186668
73,南棟客梯,5,44.87410294138618,61.274102941386175
74,南棟客梯,5,0.0,11.0
75,南棟客梯,5,39.71346672728931,54.38013339395598
76,南棟客梯,5,7.5,26.5
77,南棟客梯,5,37.86140610181688,51.26140610181689
78,南棟客梯,5,29.882178738003493,51.31075016657492
79,南棟客梯,5,30.000000000000007,53.50000000000001
80,南棟客梯,5,35.0,46.5
81,南棟客梯,5,21.933325370276975,39.76665870361031
82,南棟客梯,5,0.0,12.0
83,南棟客梯,5,21.275318556736554,35.77531855673655
84,南棟客梯,5,35.35495253861161,47.10495253861161
85,南棟客梯,5,24.999999999999996,44.833333333333336
86,南棟客梯,5,22.5,36.75
87,南棟客梯,5,40.67680135716507,52.67680135716507
88,南棟客梯,5,21.717316391439226,33.86017353429637
89,南棟客梯,5,30.68247962559991,42.349146292266575
90,南棟客梯,5,28.333333333333332,48.5
91,南棟客梯,5,36.92720683060994,49.52720683060995
92,南棟客梯,5,33.333333333333336,45.0
93,南棟客梯,5,14.0,25.8
94,南棟客梯,5,32.857142857142854,47.42857142857143
95,南棟客梯,5,39.97365397485965,56.30698730819299
96,南棟客梯,5,52.51808917662627,64.68475584329293
97,南棟客梯,5,23.248385966178905,41.81981453760748
98,南棟客梯,5,33.12367063495553,44.67922619051109
99,南棟客梯,5,40.0,72.0
100,南棟客梯,18,151.70255947038248,203.7145482895832
101,南棟客梯,18,75.15282766083467,114.19128919929622
102,南棟客梯,18,142.66857040185786,208.26508810135778
103,南棟客梯,18,144.1327150274009,215.49127811635597
104,南棟客梯,18,112.46291892301669,160.91389931517355
105,南棟客梯,18,136.14823640941745,179.1732364094174
106,南棟客梯,18,147.27844334108292,217.39285944732305
107,南棟客梯,18,74.92077011788253,118.39903098744773
108,南棟客梯,18,119.02324248966093,183.1065267441684
109,南棟客梯,18,69.49787909393935,101.45706276740874
110,南棟客梯,18,105.95927859739142,167.17802859739143
111,南棟客梯,18,67.46464338697605,110.10566902800169
112,南棟客梯,18,139.47358561992738,193.89387406510846
113,南棟客梯,18,100.4794963040089,161.6099310866176
