,Location,NumFloor,Waiting_Time,Journey_Time
0,南棟病床,5,37.19176614020945,52.59176614020946
1,南棟病床,5,36.433298611691455,53.03329861169145
2,南棟病床,5,31.60125554028188,47.40125554028188
3,南棟病床,5,29.727629576046336,43.60262957604633
4,南棟病床,5,32.88850511800712,50.74564797514997
5,南棟病床,5,10.221684258513063,27.821684258513063
6,南棟病床,5,0.0,12.0
7,南棟病床,5,41.88933076406855,56.38933076406855
8,南棟病床,5,20.026372837815064,31.226372837815063
9,南棟病床,5,16.666666666666668,45.333333333333336
10,南棟病床,5,46.07591688084034,58.07591688084034
11,南棟病床,5,23.333333333333332,38.666666666666664
12,南棟病床,5,57.16805645503211,72.1680564550321
13,南棟病床,5,36.79546358840081,52.79546358840081
14,南棟病床,5,15.0,26.5
15,南棟病床,5,46.666666666666664,58.0
16,南棟病床,5,44.9025644941596,59.9025644941596
17,南棟病床,5,13.333333333333334,31.66666666666666
18,南棟病床,5,33.333333333333336,58.0
19,南棟病床,5,35.65994639762122,46.993279730954555
20,南棟病床,5,48.86210201861403,66.5287686852807
21,南棟病床,5,15.0,31.5
22,南棟病床,5,27.63772499908619,50.13772499908619
23,南棟病床,5,0.0,12.0
24,南棟病床,5,35.0,47.0
25,南棟病床,5,25.922192268356003,41.58885893502267
26,南棟病床,5,10.000000000000002,21.000000000000004
27,南棟病床,5,15.952982704962906,32.452982704962906
28,南棟病床,5,25.891728525974695,40.32029995454612
29,南棟病床,5,34.69815727004972,51.19815727004972
30,南棟病床,5,,
31,南棟病床,5,26.666666666666668,41.333333333333336
32,南棟病床,5,41.928231969430655,56.67823196943067
33,南棟病床,5,0.0,12.0
34,南棟病床,5,23.12367191995931,41.45700525329264
35,南棟病床,5,12.0,25.4
36,南棟病床,5,,
37,南棟病床,5,25.0,51.5
38,南棟病床,5,26.0,43.6
39,南棟病床,5,33.15951420784946,44.65951420784946
40,南棟病床,5,5.0,27.0
41,南棟病床,5,0.0,12.0
42,南棟病床,5,25.214727540940235,41.71472754094024
43,南棟病床,5,71.4130127521418,87.24634608547512
44,南棟病床,5,0.0,12.000000000000007
45,南棟病床,5,25.53649655902862,38.28649655902862
46,南棟病床,5,35.0,61.499999999999986
47,南棟病床,5,41.541265461965054,55.39840831910791
48,南棟病床,5,19.10865343696834,38.553097881412775
49,南棟病床,5,0.0,11.0
50,南棟病床,5,0.0,11.0
51,南棟病床,5,50.0,68.0
52,南棟病床,5,32.0,51.8
53,南棟病床,5,26.0,37.6
54,南棟病床,5,,
55,南棟病床,5,38.73600780481191,50.48600780481191
56,南棟病床,5,21.281548325455336,33.948214992122004
57,南棟病床,5,15.000000000000002,25.999999999999996
58,南棟病床,5,70.0,91.0
59,南棟病床,5,39.99999999999999,61.333333333333336
60,南棟病床,5,,
61,南棟病床,5,17.64556497781156,35.245564977811554
62,南棟病床,5,27.368249003118297,45.534915669784965
63,南棟病床,5,20.01317194511035,34.58460051653892
64,南棟病床,5,41.16414313568991,54.16414313568991
65,南棟病床,5,26.666666666666668,41.666666666666664
66,南棟病床,5,42.68787872178384,55.43787872178384
67,南棟病床,5,25.889611316663597,47.6396113166636
68,南棟病床,5,19.728953019253478,33.45622574652621
69,南棟病床,5,25.420642948630917,39.42064294863091
70,南棟病床,5,28.40467647192355,39.571343138590215
71,南棟病床,5,27.285051218943295,43.14219407608615
72,南棟病床,5,,
73,南棟病床,5,31.124243781622226,45.55281521019366
74,南棟病床,5,,
75,南棟病床,5,10.0,42.0
76,南棟病床,5,33.528973126193904,50.028973126193904
77,南棟病床,5,24.559215728963945,41.4163585861068
78,南棟病床,5,46.51195047549757,60.11615515523533
79,南棟病床,5,43.64689982915271,57.24689982915271
80,南棟病床,5,10.0,31.666666666666668
81,南棟病床,5,0.0,11.5
82,南棟病床,5,29.55422818685652,45.55422818685652
83,南棟病床,5,45.0,58.75
84,南棟病床,5,49.999999999999986,70.99999999999999
85,南棟病床,5,23.33333333333333,34.33333333333333
86,南棟病床,5,32.463244164685754,44.46324416468576
87,南棟病床,5,34.89946321066473,58.23279654399806
88,南棟病床,5,24.999999999999996,47.0
89,南棟病床,5,38.13509569647106,50.335095696471065
90,南棟病床,5,35.0,46.0
91,南棟病床,5,41.85254592999824,58.85254592999824
92,南棟病床,5,12.5,36.25
93,南棟病床,5,33.51631055208522,48.84964388541855
94,南棟病床,5,35.58568886297584,52.46068886297584
95,南棟病床,5,28.88436569597497,48.198877590390644
96,南棟病床,5,33.70936469119262,50.20936469119262
97,南棟病床,5,41.35497167864216,52.85497167864215
98,南棟病床,5,6.666666666666667,31.0
99,南棟病床,5,39.29095509551563,53.290955095515635
100,南棟病床,18,115.69916784634363,187.75770792837605
101,南棟病床,18,138.41694614967233,210.19956422439162
102,南棟病床,18,146.12980571089236,211.11244268959436
103,南棟病床,18,154.79508801466045,223.6646326189634
104,南棟病床,18,138.58444412919212,207.49813137392619
105,南棟病床,18,151.07445408435223,218.87539203315163
106,南棟病床,18,133.82276054365002,202.34525401365426
107,南棟病床,18,144.80362459313392,210.6672609567703
108,南棟病床,18,138.66464694206303,208.92082209313455
109,南棟病床,18,144.35194077184528,213.87223583154383
110,南棟病床,18,149.0292495226869,225.93767331023855
111,南棟病床,18,140.91871418579282,213.09230583775727
112,南棟病床,18,143.42533932131417,214.247162438977
113,南棟病床,18,132.5439139372618,203.4380434756845
114,南棟病床,18,138.1691662078889,206.47249285890186
115,南棟病床,18,145.55159209949483,216.15134186842738
116,南棟病床,18,130.6135623304884,199.18493265312392
